"Row.names"	"microfraction"	"picofraction"	"Kingdom"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV_134"	44	2304	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Perkinsea"	"c:Perkinsida"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_137"	1632	245	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_14"	21175	6534	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Mediophyceae"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_140"	1507	166	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_141"	32	1778	"k:Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_142"	301	1527	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Chrysophyceae"	"o:Apoikiales"	"f:Apoikiaceae"	"g:Apoikiospumella"	"s:Apoikiospumella_sp."
"ASV_143"	1298	455	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:CONThreeP"	"Unclassified"	"Unclassified"	"g:Askenasia"	"s:Askenasia_sp."
"ASV_144"	11	1672	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Chrysophyceae"	"o:Hibberdiales"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_149"	1474	249	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Chrysophyceae"	"o:Synurales"	"f:Synuraceae"	"g:Synura"	"s:Synura_curtispina"
"ASV_15"	732	24343	"k:Eukaryota"	"d:Archaeplastida"	"p:Chlorophyta-Chlorophyta_X"	"c:Chlorophyceae"	"o:Chlamydomonadales"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_150"	911	721	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:Spirotrichea"	"o:Hypotrichia"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_151"	1159	478	"k:Eukaryota"	"d:Obazoa"	"p:Opisthokonta-Choanoflagellata"	"c:Choanoflagellatea"	"Unclassified"	"UnclassifiedGroup_L"	"Unclassified"	"Unclassified"
"ASV_154"	1412	220	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:Spirotrichea"	"o:Choreotrichida-Tintinnina"	"f:Tintinnidiidae"	"Unclassified"	"Unclassified"
"ASV_16"	14919	8821	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:Spirotrichea"	"o:Choreotrichida"	"f:Strobilidiidae"	"g:Rimostrombidium"	"s:Rimostrombidium_sp."
"ASV_17"	1243	19650	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Perkinsea"	"c:Perkinsida"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_170"	1050	772	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:Phyllopharyngea"	"o:Cyrtophoria_4"	"f:Chilodonellidae"	"g:Phascolodon"	"s:Phascolodon_vorticella"
"ASV_18"	682	18982	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Chrysophyceae"	"o:Chrysophyceae_Clade-EC2H"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_19"	7147	13926	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:Spirotrichea"	"o:Oligotrichida"	"f:Pelagostrombidiidae"	"Unclassified"	"Unclassified"
"ASV_2"	40645	35054	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:Spirotrichea"	"o:Choreotrichida"	"f:Strobilidiidae"	"g:Rimostrombidium"	"s:Rimostrombidium_sp."
"ASV_20"	1045	15664	"k:Eukaryota"	"d:Archaeplastida"	"p:Chlorophyta-Chlorophyta_X"	"c:Chlorophyceae"	"o:Chlamydomonadales"	"Unclassified"	"g:Spermatozopsis"	"s:Spermatozopsis_similis"
"ASV_21"	11899	5970	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:CONThreeP"	"Unclassified"	"Unclassified"	"g:Askenasia"	"s:Askenasia_sp."
"ASV_22"	4796	11948	"k:Eukaryota"	"d:Cryptista"	"p:Cryptophyta-Cryptophyta_X"	"c:Cryptophyceae"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_23"	15560	3399	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:Spirotrichea"	"o:Choreotrichida-Tintinnina"	"f:Tintinnidiidae"	"Unclassified"	"Unclassified"
"ASV_24"	11726	5695	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Mediophyceae"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_25"	15602	2418	"k:Eukaryota"	"d:Cryptista"	"p:Cryptophyta-Cryptophyta_X"	"c:Cryptophyceae"	"o:Cryptomonadales"	"Unclassified"	"g:Teleaulax"	"s:Teleaulax_acuta"
"ASV_26"	14321	1968	"k:Eukaryota"	"d:Rhizaria"	"p:Rhizaria-Cercozoa"	"c:Filosa-Imbricatea"	"Unclassified"	"f:Novel-clade-2"	"Unclassified"	"Unclassified"
"ASV_28"	12068	2506	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:Oligohymenophorea"	"o:Peniculia"	"f:Peniculida"	"Unclassified"	"Unclassified"
"ASV_29"	11177	995	"k:Eukaryota"	"d:Cryptista"	"p:Kathablepharidacea-Kathablepharida"	"c:Kathablepharidea"	"o:Kathablepharidida"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_3"	64704	7434	"k:Eukaryota"	"d:Cryptista"	"p:Cryptophyta-Cryptophyta_X"	"c:Cryptophyceae"	"o:Cryptomonadales"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_30"	595	9535	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Perkinsea"	"c:Perkinsida"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_31"	2855	8596	"k:Eukaryota"	"d:Cryptista"	"p:Cryptophyta-Cryptophyta_X"	"c:Cryptophyceae"	"Unclassified"	"f:Basal_Cryptophyceae-1"	"Unclassified"	"Unclassified"
"ASV_32"	807	10331	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Perkinsea"	"c:Perkinsida"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_34"	747	9336	"k:Eukaryota"	"d:Archaeplastida"	"p:Chlorophyta-Chlorophyta_X"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_35"	2056	7877	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Bigyra"	"c:Opalozoa"	"Unclassified"	"f:MAST-12"	"g:MAST-12C"	"s:MAST-12C_sp."
"ASV_37"	766	9985	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Perkinsea"	"c:Perkinsida"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_38"	1819	7515	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Bigyra"	"c:Bicoecea"	"o:Pseudodendromonadales"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_39"	933	8348	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Bigyra"	"c:Bicoecea"	"o:Pseudodendromonadales"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_4"	48014	12900	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Mediophyceae"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
