Sample	Region	Fraction_size	River_part	Riverine_vs_Lentic	Max_depth	distance_from_source_of_the_river	T	DO	TDS	ntu	Transparancy	Color		name_of_hpp	hpp	site_after_hpp
102	Cut near Kremenki - Undory	0.2um	Lower_Volga	reach	24	1581	18,62	96,84	0,15	5,25	185	35			hpp3	normal
103	Middle of spill	0.2um	Lower_Volga	reach	11	1568	18,19	99,7	0,15	5,02	185	35			hpp3	normal
104	Below Novoulyanovsk	0.2um	Lower_Volga	reach	16	1512	18,19	99,42	0,17	6,52	170	35			hpp3	normal
105	Mouth of the Big Cheremshan River	0.2um	Lower_Volga	reach	16	1476	17,39	96,05	0,17	5,59	210	30			hpp3	normal
106	Opposite the Big Cheremshan River	0.2um	Lower_Volga	reach	28	1471	17,91	95,56	0,17	13,11		35			hpp3	normal
107	Opposite the Usa River	0.2um	Lower_Volga	reach	18	1411	18,49	97,39	0,18	6,66	180	30			hpp3	normal
108	Pressure point	0.2um	Lower_Volga	reach	26	1391	18,06	92,66	0,18	4,88	200	30			hpp3	normal
109	Lower b'ef of the Samara HPP	0.2um	Lower_Volga	reach	8	1384	18	93,03	0,19	3,13	280	30	After the hydropower plant	Zhiguli Hydroelectric Station	hpp4	hpp
110	Above Shiryaevo	0.2um	Lower_Volga	flowing	16	1361	18,1	90,86	0,19	4,61	280	25			hpp4	normal
111	Ermakovo	0.2um	Lower_Volga	flowing	16	1290	18,1	93,41	0,19	3,51	280	20			hpp4	normal
112	Above Syzran	0.2um	Lower_Volga	flowing	10	1216	17,9	97,33	0,19	5,23	240	30			hpp4	normal
113	Spill near Privolzhye village	0.2um	Lower_Volga	reach	22,9	1171	17,7	94,5	0,19	4,25	280	25			hpp4	normal
114	Cut Khvalynsk - Dukhovnitskoye	0.2um	Lower_Volga	reach	18,9	1121	17,29	97,03	0,2	3,91	280	30			hpp4	normal
115	Volga near Dukhovnitskoye	0.2um	Lower_Volga	reach	19,5	1121	16,89	98,76	0,2	4,42	270	30			hpp4	normal
116	Volga opposite the Mal. Irgiz River	0.2um	Lower_Volga	reach	21	1086	17,84	95,98	0,2	6,16	240	25			hpp4	normal
117	Balakovo-1 cut	0.2um	Lower_Volga	reach	9,8	1066	17,9	100,66	0,21	3,99	230	30			hpp4	normal
118	Balakovo-2 (Shirokiy)	0.2um	Lower_Volga	reach	18,8	1066	18,09	97,28	0,2	4,82	260	25			hpp4	normal
119	Upper Saratov HPP	0.2um	Lower_Volga	flowing	11	1046	17,93	99,72	0,21	3,59	280	30	After the hydropower plant	Saratov Hydroelectric Station	hpp5	hpp
120	Below Volsk city	0.2um	Lower_Volga	flowing	16	1020	18	94,9	0,21	4,85	240	30			hpp5	normal
121	Below Marks city	0.2um	Lower_Volga	reach	6	961	18,3	102,16	0,21	5,4	240	25			hpp5	normal
122	Above Saratov	0.2um	Lower_Volga	reach	16	911	18,59	93,92	0,21	4,73	240	30			hpp5	normal
123	Cut Rovnoe - Zolotoe	0.2um	Lower_Volga	reach	18	796	18,88	96,89	0,21	4,6	240	30			hpp5	normal
124	Left bank of the Volga River near Rovnoe	0.2um	Lower_Volga	reach	9	796	19,15	98,12	0,21	5,3	290	25			hpp5	normal
125	Volga opposite the Eruslan River (Nizhnyaya Dobrinka)	0.2um	Lower_Volga	reach	23	721	19,19	96,95	0,21	5,67	210	30			hpp5	normal
126	Kamyshin	0.2um	Lower_Volga	reach	27,4	686	19,85	96,86	0,21	4,19	230	30			hpp5	normal
127	Cut Gorny Balykley	0.2um	Lower_Volga	reach	27,8	616	20,33	98,96	0,21	4,3	230	30			hpp5	normal
