"mindex","n","predictors","rsquare","adjr","rmse","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
375,4,"Fraction_size Riverine_vs_Lentic Max_depth ntu",0.167601360443629,0.142566814893062,0.42954292994294,0.105735001340796,47.2807115208622,170.397764531089,-223.446660614426,187.961286642032,26.4236572747243,0.198379845104865,0.89498500343279,0.00145032944609406
376,4,"Riverine_vs_Lentic Max_depth DO ntu",0.164761342708273,0.139641383090477,0.430275073603438,0.108167089955782,47.8787426873359,170.867798185427,-223.005689265192,188.43132029637,26.5138107801807,0.199056687006884,0.898038556336218,0.00145527774989139
377,4,"Fraction_size Riverine_vs_Lentic Max_depth DO",0.161332633217522,0.136109554517297,0.431157322812423,0.0982636126786607,48.600736466011,171.433137654502,-222.475211763988,188.996659765445,26.6226517130858,0.199873827767767,0.901725063533041,0.00146125176053993
378,4,"Riverine_vs_Lentic Max_depth T DO",0.161059718895695,0.135828432245941,0.431227469477108,0.0988490999956675,48.6582048642529,171.478037517461,-222.433076318815,189.041559628404,26.6313151036329,0.199938869561828,0.902018497728689,0.00146172727270249
379,4,"Fraction_size Riverine_vs_Lentic Max_depth T",0.159685862823822,0.134413257194463,0.43158041601034,0.09159620531388,48.9475019130005,171.703842705949,-222.22116390394,189.267364816892,26.674926782296,0.200266291234309,0.903495651249575,0.00146412101029533
380,4,"Fraction_size Riverine_vs_Lentic T DO",0.155900153464029,0.130513691914075,0.432551482618509,0.0998001546456889,49.7446702391637,172.324151936743,-221.638936109495,189.887674047686,26.7951003168397,0.201168513319641,0.907566000410857,0.00147071703952693
381,4,"Fraction_size Max_depth T ntu",0.0843187316628729,0.0567794453970947,0.450518945950746,0.0170139023396511,64.817787792153,183.557014472848,-211.074655807726,201.120536583792,29.0673805285412,0.218228021462118,0.984529484001573,0.00159543690197989
382,4,"Max_depth T DO ntu",0.0793885324991566,0.0517009695668004,0.451730156914544,0.0153090184998036,65.8559548148866,184.298039153861,-210.376347528431,201.861561264805,29.2238847403545,0.219403001934162,0.989830374831734,0.00160402703257652
383,4,"Fraction_size Max_depth T DO",0.0793479465635556,0.0516591630015573,0.45174011425792,0.00810057946841036,65.8645011187029,184.30412286654,-210.370613805741,201.867644977484,29.2251731000436,0.219412674501169,0.98987401234144,0.00160409774746564
384,4,"Fraction_size Max_depth DO ntu",0.0508729970272383,0.022327824005501,0.45867287648731,-0.0161461427999687,71.8605577892259,188.507664295342,-206.406160269959,206.071186406286,30.1290817223159,0.22619891346162,1.0204899355271,0.00165371106472258
385,4,"Fraction_size T DO ntu",0.0375722446561712,0.00862704900673272,0.461875540362415,-0.0254935303069255,74.6613376422612,190.428125576387,-204.593119909654,207.99164768733,30.5513007234622,0.229368790332822,1.03479074446743,0.00167688562544657
386,5,"Fraction_size Riverine_vs_Lentic distance_from_source_of_the_river Transparancy Color",0.387411762928394,0.364207663039318,0.36848958792451,0.335203273709479,2.99456697868646,130.084416004073,-260.714616747619,150.575191800174,19.5944399422251,0.148128628809573,0.668278076805389,0.00108363818785629
387,5,"Riverine_vs_Lentic distance_from_source_of_the_river T Transparancy Color",0.385301151091861,0.362017103784735,0.369123839192577,0.333161163631538,3.43900492809121,130.559064069562,-260.283049225252,151.049839865663,19.6619506359824,0.148638991265747,0.670580562445242,0.0010873717554428
388,5,"Fraction_size Riverine_vs_Lentic distance_from_source_of_the_river ntu Transparancy",0.385187005904915,0.361898634916465,0.369158109432309,0.332181172248184,3.46304082703892,130.584687305212,-260.259748954403,151.075463101313,19.6656017198181,0.148666592465058,0.670705084467365,0.00108757367261334
389,5,"Fraction_size Riverine_vs_Lentic distance_from_source_of_the_river TDS Transparancy",0.385097568755075,0.361805809995797,0.369184959262114,0.327800513149167,3.48187387951577,130.604760773342,-260.241495125497,151.095536569443,19.668462484611,0.148688219067675,0.670802652267191,0.00108773188249253
390,5,"Fraction_size Riverine_vs_Lentic distance_from_source_of_the_river DO Transparancy",0.38442086481349,0.361103473329152,0.369388048571606,0.333191756042869,3.62436948526698,130.756547124152,-260.103462595519,151.247322920252,19.6901077496351,0.148851851375497,0.671540874748921,0.00108892893817953
391,5,"Riverine_vs_Lentic distance_from_source_of_the_river ntu Transparancy Color",0.384264882862543,0.360941582970972,0.369434845332319,0.332499221150919,3.65721507876887,130.791510593965,-260.07166590591,151.282286390065,19.6950970373572,0.148889569031689,0.671711036877226,0.00108920486250917
392,5,"Riverine_vs_Lentic distance_from_source_of_the_river DO Transparancy Color",0.38406390942415,0.360732996902337,0.369495131429055,0.334831135988461,3.69953466652916,130.83654588353,-260.030708887636,151.327321679631,19.7015254369415,0.148938165981572,0.6719302806282,0.00108956037454713
393,5,"Fraction_size Riverine_vs_Lentic distance_from_source_of_the_river T Transparancy",0.38369376538954,0.360348832260356,0.369606137976397,0.330388061449212,3.77747702091131,130.919451457001,-259.95530879485,151.410227253102,19.7133649804019,0.149027669705266,0.672334074120501,0.00109021514097364
394,5,"Riverine_vs_Lentic distance_from_source_of_the_river TDS ntu Transparancy",0.383193604522612,0.359829725906044,0.369756083754252,0.328824663424572,3.88279741484769,131.031399387364,-259.8534910001,151.522175183464,19.7293632831368,0.149148612516307,0.672879704157151,0.00109109990072362
395,5,"Riverine_vs_Lentic distance_from_source_of_the_river T TDS Transparancy",0.382653139586686,0.359268788813455,0.369918044170195,0.327374223071503,3.99660475909272,131.152266330865,-259.743555383739,151.643042126965,19.7466507644937,0.149279301166584,0.673469302269069,0.00109205595637132
396,5,"Fraction_size Riverine_vs_Lentic Max_depth distance_from_source_of_the_river Transparancy",0.382356786135337,0.358961209852584,0.370006821924579,0.324508212330627,4.05900880607902,131.218496461654,-259.683312579364,151.709272257754,19.756130019159,0.149350961749884,0.673792596943269,0.00109258019091836
397,5,"Riverine_vs_Lentic distance_from_source_of_the_river TDS Transparancy Color",0.382073089116033,0.358666766734064,0.370091788276657,0.329236103906707,4.11874774970155,131.28186832306,-259.625667932878,151.772644119161,19.7652044412098,0.149419561908888,0.674102084600692,0.00109308203686527
398,5,"Riverine_vs_Lentic distance_from_source_of_the_river DO TDS Transparancy",0.382023175632651,0.358614962588433,0.370106735187837,0.329418416678992,4.12925818360409,131.293014920508,-259.615528532353,151.783790716608,19.7668009895815,0.149431631379709,0.674156535673471,0.00109317033134011
399,5,"Riverine_vs_Lentic Max_depth distance_from_source_of_the_river Transparancy Color",0.381835511211787,0.358420189666779,0.370162927095986,0.325312565164767,4.16877525109197,131.334915777639,-259.57741333534,151.82569157374,19.772803682747,0.14947701010502,0.674361260496232,0.00109350230038659
400,5,"Riverine_vs_Lentic distance_from_source_of_the_river DO ntu Transparancy",0.381654399520883,0.358232217684552,0.370217148848541,0.331209499125773,4.20691249031597,131.375341510903,-259.540639291146,151.866117307004,19.7785967782318,0.149520804328956,0.67455883688631,0.001093822677979
