"VarA"	"VarB"	"cor"	"p"	"fdr"
"p:Alveolata-Ciliophora"	"p:Ancyromonadida-Ancyromonadida_X"	-0.274308885381371	0	0
"p:Ancyromonadida-Ancyromonadida_X"	"p:Cryptophyta-Cryptophyta_X"	-0.414613235019733	0	0
"p:Alveolata-Perkinsea"	"p:Ancyromonadida-Ancyromonadida_X"	0.0941584666877114	0.16	0.318139534883721
"p:Ancyromonadida-Ancyromonadida_X"	"p:Chlorophyta-Chlorophyta_X"	-0.082201611575194	0.1	0.216455696202532
"p:Ancyromonadida-Ancyromonadida_X"	"p:Stramenopiles-Gyrista"	0.0383070582982254	0.6	0.789230769230769
"p:Ancyromonadida-Ancyromonadida_X"	"p:Rhizaria-Cercozoa"	-0.166511981759043	0	0
"p:Ancyromonadida-Ancyromonadida_X"	"p:Stramenopiles-Bigyra"	0.0567759108469571	0.26	0.4446
"p:Alveolata-Dinoflagellata"	"p:Ancyromonadida-Ancyromonadida_X"	-0.027196425131221	0.5	0.695121951219512
"p:Alveolata-Alveolata_X"	"p:Ancyromonadida-Ancyromonadida_X"	-0.0698987047246901	0.72	0.892173913043478
"p:Alveolata-Chrompodellids"	"p:Ancyromonadida-Ancyromonadida_X"	0.0691117836115067	0.3	0.488571428571429
"p:Ancyromonadida-Ancyromonadida_X"	"p:Opisthokonta-Choanoflagellata"	-0.0134000065430471	0.34	0.533394495412844
"p:Ancyromonadida-Ancyromonadida_X"	"p:Centroplasthelida-Centroplasthelida_X"	0.067819564798288	0.12	0.253333333333334
"p:Ancyromonadida-Ancyromonadida_X"	"p:Kathablepharidacea-Kathablepharida"	0.0613690668876532	0.4	0.6
"p:Ancyromonadida-Ancyromonadida_X"	"p:Rhodophyta-Rhodophyta_X"	-0.0816539966570996	0.4	0.6
"p:Ancyromonadida-Ancyromonadida_X"	"p:Ancyromonadida-Ancyromonadida_X"	1	1	1
"p:Alveolata-Ciliophora"	"p:Opisthokonta-Ichthyosporea"	-0.145194720527537	0.02	0.0534375
"p:Cryptophyta-Cryptophyta_X"	"p:Opisthokonta-Ichthyosporea"	-0.317071961275631	0	0
"p:Alveolata-Perkinsea"	"p:Opisthokonta-Ichthyosporea"	0.0908765687415038	0.26	0.4446
"p:Chlorophyta-Chlorophyta_X"	"p:Opisthokonta-Ichthyosporea"	0.157552365431786	0.04	0.100588235294118
"p:Opisthokonta-Ichthyosporea"	"p:Stramenopiles-Gyrista"	0.105500311832419	0.0800000000000001	0.1824
"p:Opisthokonta-Ichthyosporea"	"p:Rhizaria-Cercozoa"	0.114868994874156	0.02	0.0534375
"p:Opisthokonta-Ichthyosporea"	"p:Stramenopiles-Bigyra"	0.195837545203785	0	0
"p:Alveolata-Dinoflagellata"	"p:Opisthokonta-Ichthyosporea"	-0.0317632618026902	0.44	0.632268907563025
